clustid,db,recnum,nclust
30603518,829,2623,2
30603518,709,1311,2
30604412,829,2628,2
30604412,709,1316,2
30605570,829,2631,2
30605570,709,1319,2
30606209,829,2635,2
30606209,709,1322,2
30606883,709,1324,3
30606883,829,2637,3
30606883,709,1793,3
30610165,829,2651,2
30610165,709,1338,2
30611598,829,2654,2
30611598,709,1343,2
30611885,829,2656,2
30611885,709,1345,2
30612353,829,2657,2
30612353,709,1346,2
30612935,709,801,3
30612935,829,2664,3
30612935,709,1353,3
30613214,829,2665,2
30613214,709,1355,2
30614280,829,2671,2
30614280,709,1360,2
30615701,709,1365,2
30615701,829,2676,2
30616236,709,1374,2
30616236,829,2685,2
30616852,709,1377,2
30616852,829,2689,2
30616991,829,2692,2
30616991,709,1380,2
30617315,829,2694,2
30617315,709,1382,2
30617817,829,2695,2
30617817,709,1383,2
30619441,709,1391,2
30619441,829,2703,2
30620721,829,2707,2
30620721,709,1396,2
30621299,829,2709,2
30621299,709,1398,2
30622032,829,2712,2
30622032,709,1401,2
30623801,829,2716,2
30623801,709,1405,2
30624255,829,2719,2
30624255,709,1408,2
30624502,829,2720,2
30624502,709,1409,2
30624512,829,2721,2
30624512,709,1410,2
30626684,829,2735,2
30626684,709,1424,2
30627987,829,2741,2
30627987,709,1430,2
30628148,829,2742,2
30628148,709,1431,2
30630147,829,2747,2
30630147,709,1436,2
30631234,829,2753,2
30631234,709,1442,2
30632777,829,2756,2
30632777,709,1445,2
30633250,829,2759,2
30633250,709,1448,2
30636183,829,2770,2
30636183,709,1459,2
30637042,829,2773,2
30637042,709,1462,2
30639848,829,2786,2
30639848,709,1475,2
30642410,829,2798,2
30642410,709,1487,2
30643942,709,1492,2
30643942,829,2803,2
30644539,709,1494,2
30644539,829,2804,2
30644673,829,2805,2
30644673,709,1495,2
30644755,709,1496,3
30644755,709,1791,3
30644755,829,2806,3
30645475,709,1499,2
30645475,829,2984,2
30646272,829,2814,2
30646272,709,1507,2
30646753,829,2818,2
30646753,709,1511,2
30648643,829,2823,2
30648643,709,1515,2
30649207,829,2824,2
30649207,709,1516,2
30649682,709,1517,2
30649682,829,2825,2
30650169,709,1521,3
30650169,829,2827,3
30650169,829,5871,3
30650175,709,1522,2
30650175,829,2830,2
30650668,709,1524,3
30650668,829,2832,3
30650668,829,3106,3
30651472,709,1526,3
30651472,829,2834,3
30651472,709,797,3
30652135,709,1529,2
30652135,829,2837,2
30652245,829,2838,2
30652245,709,1530,2
30652652,829,2843,2
30652652,709,1535,2
30652803,829,2846,2
30652803,709,1538,2
30653115,829,2847,3
30653115,709,1539,3
30653115,829,5872,3
30653545,829,2853,2
30653545,709,1545,2
30655509,709,1554,2
30655509,829,2862,2
30657388,829,2875,2
30657388,709,1566,2
30657954,829,2878,2
30657954,709,1567,2
30659359,829,2884,2
30659359,709,1573,2
30662917,829,2902,2
30662917,709,1591,2
30664002,829,2908,2
30664002,709,1598,2
30666477,709,1605,2
30666477,829,2916,2
30666503,829,2917,2
30666503,709,1606,2
30666529,829,2918,2
30666529,709,1607,2
30666914,709,1611,3
30666914,829,2877,3
30666914,829,2922,3
30667083,829,2923,2
30667083,709,1613,2
30667908,829,2928,2
30667908,709,1618,2
30668279,709,1792,3
30668279,829,2930,3
30668279,709,1619,3
30668369,829,2931,2
30668369,709,1620,2
30669753,709,1622,2
30669753,829,2934,2
30669962,829,2938,3
30669962,709,1626,3
30669962,709,798,3
30670272,829,2941,2
30670272,709,1629,2
30671830,829,2945,2
30671830,709,1633,2
30675479,829,2957,2
30675479,709,1644,2
30676744,709,799,2
30676744,829,2960,2
30677401,709,1650,2
30677401,829,2964,2
30678368,829,2968,2
30678368,709,1653,2
30679582,829,2977,2
30679582,709,1663,2
30679644,829,2978,2
30679644,709,1664,2
30680402,829,2980,2
30680402,709,1665,2
30681156,829,2981,2
30681156,709,1666,2
30682204,829,2989,2
30682204,709,1674,2
30682406,829,2990,2
30682406,709,1675,2
30682858,829,2992,2
30682858,709,1677,2
30684448,829,2997,2
30684448,709,1683,2
30685729,829,5864,3
30685729,709,1690,3
30685729,829,3004,3
30691532,709,4287,2
30691532,829,3015,2
30691909,709,1705,2
30691909,829,3019,2
30692586,709,1710,2
30692586,829,3024,2
30695025,829,3030,2
30695025,709,1717,2
30695785,829,3032,2
30695785,709,1718,2
